record_id,date,year,month,province,region,energy_type,installed_capacity_mw,generation_gwh,utilization_hours,average_temperature_c,precipitation_mm,wind_speed_m_s,solar_radiation_kwh_m2,grid_connection_rate_pct,investment_million_cny,policy_support_level
RE00364,2020-09-01,2020,9,云南,西南,光伏,3239.5,405.8,140.63,23.32,137.75,3.23,149.1,90.72,185.12,低
RE00382,2020-10-01,2020,10,云南,西南,光伏,3388.23,334.42,109.65,17.9,112.92,4.72,109.65,90.72,201.89,低
RE00400,2020-11-01,2020,11,云南,西南,光伏,3255.77,322.45,108.88,10.8,70.7,4.12,105.15,91.0,163.8,低
RE00418,2020-12-01,2020,12,云南,西南,光伏,3242.46,376.83,126.79,5.93,37.84,4.77,99.95,89.84,169.44,低
RE00436,2021-01-01,2021,1,云南,西南,光伏,3324.59,364.25,122.06,7.47,63.81,5.16,102.2,89.26,161.99,中
RE00454,2021-02-01,2021,2,云南,西南,光伏,3499.1,418.36,126.8,9.97,27.44,5.57,118.66,94.07,199.76,中
RE00472,2021-03-01,2021,3,云南,西南,光伏,3428.73,414.06,131.69,14.35,51.89,5.26,130.54,91.03,115.79,中
RE00490,2021-04-01,2021,4,云南,西南,光伏,3470.92,520.52,166.12,18.84,75.5,5.37,180.13,90.76,183.36,中
RE00508,2021-05-01,2021,5,云南,西南,光伏,3596.25,512.07,160.24,21.42,81.44,4.43,201.61,90.4,153.96,中
RE00526,2021-06-01,2021,6,云南,西南,光伏,3731.92,563.89,169.76,28.3,116.63,3.47,205.19,90.32,194.91,中
RE00544,2021-07-01,2021,7,云南,西南,光伏,3688.83,486.24,144.99,27.14,118.65,4.51,164.17,91.35,169.78,中
RE00562,2021-08-01,2021,8,云南,西南,光伏,3783.85,496.24,141.27,28.27,148.6,3.67,161.18,90.88,205.88,中
RE00580,2021-09-01,2021,9,云南,西南,光伏,3791.85,429.75,125.57,23.23,132.02,3.54,150.72,89.55,174.75,中
RE00598,2021-10-01,2021,10,云南,西南,光伏,3800.46,341.82,97.84,18.47,122.33,3.91,105.11,91.97,203.37,中
RE00616,2021-11-01,2021,11,云南,西南,光伏,3983.56,365.06,98.75,12.62,89.34,3.43,98.58,92.49,195.57,中
RE00634,2021-12-01,2021,12,云南,西南,光伏,3914.34,439.59,122.93,9.13,77.69,4.41,91.23,89.99,157.22,中
RE00652,2022-01-01,2022,1,云南,西南,光伏,4033.67,431.64,114.51,7.16,36.74,4.56,98.54,91.83,196.03,中
RE00670,2022-02-01,2022,2,云南,西南,光伏,4105.04,535.74,139.94,6.74,36.56,5.88,120.02,92.03,212.43,中
RE00688,2022-03-01,2022,3,云南,西南,光伏,4408.86,578.35,141.59,11.06,43.9,4.57,140.77,90.96,228.54,中
RE00706,2022-04-01,2022,4,云南,西南,光伏,4239.71,600.18,152.77,20.38,72.41,4.55,188.45,92.35,244.93,中
RE00724,2022-05-01,2022,5,云南,西南,光伏,4396.89,655.2,158.45,26.05,71.42,3.83,204.28,93.2,248.33,中
RE00742,2022-06-01,2022,6,云南,西南,光伏,4309.22,608.94,154.4,30.66,128.1,3.37,202.1,91.04,236.17,中
RE00760,2022-07-01,2022,7,云南,西南,光伏,4514.97,659.06,159.31,28.06,128.38,4.14,203.42,91.49,306.6,中
RE00778,2022-08-01,2022,8,云南,西南,光伏,4499.87,565.99,139.3,28.44,112.2,3.13,160.9,92.33,222.03,中
RE00796,2022-09-01,2022,9,云南,西南,光伏,4514.71,479.34,113.27,22.24,143.93,3.7,138.98,92.97,251.31,中
RE00814,2022-10-01,2022,10,云南,西南,光伏,4427.71,438.71,109.96,17.2,109.81,2.92,126.5,91.71,196.61,中
RE00832,2022-11-01,2022,11,云南,西南,光伏,4817.87,498.84,109.34,13.1,83.96,4.29,91.1,93.75,245.63,中
RE00850,2022-12-01,2022,12,云南,西南,光伏,4915.76,475.13,107.94,7.09,85.35,4.68,89.51,91.07,272.9,中
RE00868,2023-01-01,2023,1,云南,西南,光伏,4873.08,476.44,107.37,5.59,68.92,4.38,92.62,92.52,256.89,中
RE00886,2023-02-01,2023,2,云南,西南,光伏,4946.28,597.93,128.55,12.32,17.01,4.53,116.84,92.52,263.75,中
RE00904,2023-03-01,2023,3,云南,西南,光伏,5131.02,683.31,141.08,11.95,70.52,4.32,156.16,91.86,240.46,中
RE00922,2023-04-01,2023,4,云南,西南,光伏,4951.71,715.36,155.6,17.27,85.43,5.39,162.54,95.2,248.54,中
RE00940,2023-05-01,2023,5,云南,西南,光伏,5002.77,724.17,152.73,27.65,87.77,4.25,184.6,94.35,280.46,中
RE00958,2023-06-01,2023,6,云南,西南,光伏,5181.56,713.77,146.48,27.29,93.31,3.49,178.63,92.09,212.4,中
RE00976,2023-07-01,2023,7,云南,西南,光伏,5214.06,741.8,151.33,29.03,116.09,1.98,192.89,95.72,208.1,中
RE00994,2023-08-01,2023,8,云南,西南,光伏,5432.56,650.73,130.27,25.44,166.85,2.06,164.25,92.54,257.99,中
RE01012,2023-09-01,2023,9,云南,西南,光伏,5328.5,650.65,128.09,25.52,106.87,3.4,142.9,93.39,326.34,中
RE01030,2023-10-01,2023,10,云南,西南,光伏,5618.04,615.54,115.34,18.43,106.53,3.27,106.77,93.57,305.19,中
RE01048,2023-11-01,2023,11,云南,西南,光伏,5619.83,592.91,110.59,13.71,71.23,3.49,102.2,92.68,325.16,中
RE01066,2023-12-01,2023,12,云南,西南,光伏,5817.92,587.11,109.29,6.14,46.32,4.66,90.84,93.33,337.67,中
RE01084,2024-01-01,2024,1,云南,西南,光伏,5808.1,595.03,109.25,3.96,35.16,5.05,90.05,95.12,309.8,中
RE01102,2024-02-01,2024,2,云南,西南,光伏,5894.69,731.29,129.81,9.0,22.93,4.9,116.91,95.0,228.12,中
RE01120,2024-03-01,2024,3,云南,西南,光伏,5959.55,770.67,136.37,12.39,47.28,5.36,138.4,93.81,240.79,中
RE01138,2024-04-01,2024,4,云南,西南,光伏,6103.53,866.16,151.84,15.7,79.21,4.93,182.3,94.1,307.95,中
RE01156,2024-05-01,2024,5,云南,西南,光伏,6034.51,836.41,148.1,26.47,109.29,4.33,191.9,94.3,282.68,中
RE01174,2024-06-01,2024,6,云南,西南,光伏,6054.08,830.51,146.98,28.86,124.8,3.55,186.55,94.12,334.84,中
RE01192,2024-07-01,2024,7,云南,西南,光伏,6121.2,911.28,156.71,29.95,128.16,2.87,174.73,94.36,259.59,中
RE01210,2024-08-01,2024,8,云南,西南,光伏,6220.5,828.58,138.71,25.79,122.17,3.06,167.84,94.43,294.68,中
RE01228,2024-09-01,2024,9,云南,西南,光伏,6290.93,729.39,118.94,26.02,116.18,3.1,130.12,97.64,389.91,中
RE01246,2024-10-01,2024,10,云南,西南,光伏,6514.02,742.05,119.88,19.16,136.7,3.64,132.98,94.55,317.12,中
RE01264,2024-11-01,2024,11,云南,西南,光伏,6590.46,608.26,95.61,10.87,95.58,4.68,95.96,95.59,248.09,中
RE01282,2024-12-01,2024,12,云南,西南,光伏,7057.12,652.92,98.77,7.79,76.06,4.8,84.55,95.13,309.17,中
RE01300,2025-01-01,2025,1,云南,西南,光伏,6888.86,778.32,120.04,6.74,25.65,4.41,102.59,93.87,354.69,高
RE01318,2025-02-01,2025,2,云南,西南,光伏,6811.67,893.45,137.32,11.77,67.46,5.01,122.47,94.63,378.15,高
RE01336,2025-03-01,2025,3,云南,西南,光伏,6926.61,881.79,136.35,13.07,48.21,4.27,144.06,94.41,386.47,高
RE01354,2025-04-01,2025,4,云南,西南,光伏,7052.9,889.88,135.13,16.56,62.02,3.98,163.58,95.37,461.01,高
RE01372,2025-05-01,2025,5,云南,西南,光伏,7149.3,1121.48,164.9,21.9,103.83,3.7,180.84,95.62,309.05,高
RE01390,2025-06-01,2025,6,云南,西南,光伏,7004.56,1044.38,155.77,29.45,101.01,3.19,196.66,95.76,416.37,高
RE01408,2025-07-01,2025,7,云南,西南,光伏,7546.34,933.48,135.67,26.37,114.51,3.05,182.62,94.55,320.65,高
RE01426,2025-08-01,2025,8,云南,西南,光伏,7565.76,989.52,139.19,27.51,121.56,3.83,163.22,94.14,343.81,高
RE01444,2025-09-01,2025,9,云南,西南,光伏,7456.85,834.43,117.74,21.26,152.23,3.59,137.63,96.26,320.24,高
RE01462,2025-10-01,2025,10,云南,西南,光伏,7722.68,783.6,105.63,19.33,113.5,4.05,108.86,94.89,403.95,高
RE01480,2025-11-01,2025,11,云南,西南,光伏,7988.51,717.71,98.44,14.59,90.05,4.53,95.71,93.9,393.895,高
RE01498,2025-12-01,2025,12,云南,西南,光伏,7740.07,901.38,120.34,8.09,53.12,5.2,96.29,95.07,383.84,高
RE00006,2019-01-01,2019,1,云南,西南,水电,46779.06,5224.07,125.93,9.2,52.87,5.32,87.06,90.02,1082.62,低
RE00024,2019-02-01,2019,2,云南,西南,水电,45834.08,4513.58,105.53,4.24,32.17,5.51,124.12,91.16,1123.46,低
RE00042,2019-03-01,2019,3,云南,西南,水电,46965.41,4777.95,112.39,10.79,48.91,4.57,139.43,90.1,1164.31,低
RE00060,2019-04-01,2019,4,云南,西南,水电,47749.93,5263.99,122.56,17.61,65.61,4.79,155.05,89.19,1345.92,低
RE00078,2019-05-01,2019,5,云南,西南,水电,48305.85,6829.86,154.91,22.41,71.4,4.32,194.85,90.42,1351.44,低
RE00096,2019-06-01,2019,6,云南,西南,水电,48070.98,7038.74,163.27,30.55,80.38,3.85,181.54,86.66,842.59,低
RE00114,2019-07-01,2019,7,云南,西南,水电,47359.11,8552.55,207.6,30.47,111.39,2.82,189.18,88.8,1215.49,低
RE00132,2019-08-01,2019,8,云南,西南,水电,48230.64,7738.38,180.54,26.19,115.38,3.25,146.78,90.8,1112.45,低
RE00150,2019-09-01,2019,9,云南,西南,水电,47621.35,8167.67,193.63,24.42,105.97,3.03,134.19,89.8,1189.29,低
RE00168,2019-10-01,2019,10,云南,西南,水电,48077.77,8776.79,202.23,15.4,106.21,3.6,112.67,89.93,1433.47,低
RE00186,2019-11-01,2019,11,云南,西南,水电,48099.06,5901.69,136.84,11.74,76.11,3.51,100.19,89.08,1420.55,低
RE00204,2019-12-01,2019,12,云南,西南,水电,50600.52,7161.45,161.77,9.46,74.68,5.07,82.1,88.9,1499.67,低
RE00222,2020-01-01,2020,1,云南,西南,水电,48536.2,4907.68,115.96,9.01,35.88,5.44,95.38,90.55,1306.95,低
RE00240,2020-02-01,2020,2,云南,西南,水电,47800.96,5380.91,123.67,8.05,64.75,4.78,131.86,91.57,1209.7,低
RE00258,2020-03-01,2020,3,云南,西南,水电,49174.27,4883.47,106.89,11.75,20.6,5.39,143.88,91.41,1194.96,低
RE00276,2020-04-01,2020,4,云南,西南,水电,49598.0,6257.98,140.98,17.56,47.79,4.81,170.01,92.18,1146.84,低
RE00294,2020-05-01,2020,5,云南,西南,水电,50661.05,6827.37,150.12,21.19,98.45,4.43,185.93,89.3,1394.48,低
RE00312,2020-06-01,2020,6,云南,西南,水电,48028.71,6318.75,145.25,26.89,91.59,4.39,176.14,89.52,811.42,低
RE00330,2020-07-01,2020,7,云南,西南,水电,49216.62,9237.21,206.17,29.33,125.75,3.98,174.51,90.87,1068.41,低
RE00348,2020-08-01,2020,8,云南,西南,水电,50036.64,9808.45,217.04,27.81,141.17,3.04,160.33,91.36,1360.79,低
RE00366,2020-09-01,2020,9,云南,西南,水电,50226.89,8789.56,198.31,25.33,140.66,2.66,142.7,87.97,1121.98,低
RE00384,2020-10-01,2020,10,云南,西南,水电,51882.45,8342.81,181.45,16.18,120.37,4.63,105.86,89.92,1284.58,低
RE00402,2020-11-01,2020,11,云南,西南,水电,49576.36,6452.6,144.19,13.17,85.95,4.88,96.45,91.64,1225.69,低
RE00420,2020-12-01,2020,12,云南,西南,水电,49232.77,6686.55,150.61,7.0,76.5,5.53,100.7,88.96,1230.05,低
RE00438,2021-01-01,2021,1,云南,西南,水电,51744.54,5812.16,126.01,7.64,47.11,5.82,87.43,91.76,1349.67,低
RE00456,2021-02-01,2021,2,云南,西南,水电,50402.59,5427.9,114.95,9.34,43.13,4.73,117.66,94.0,1355.05,低
RE00474,2021-03-01,2021,3,云南,西南,水电,50323.38,6268.62,132.9,12.48,41.27,6.02,135.61,92.3,1426.92,低
RE00492,2021-04-01,2021,4,云南,西南,水电,51036.25,6841.66,145.66,17.0,61.24,4.2,157.05,91.75,1267.79,低
RE00510,2021-05-01,2021,5,云南,西南,水电,49434.55,6105.83,134.32,20.66,78.93,4.08,185.33,91.64,1436.78,低
RE00528,2021-06-01,2021,6,云南,西南,水电,49479.13,8811.23,192.1,31.36,123.98,3.88,188.13,92.82,1479.47,低
RE00546,2021-07-01,2021,7,云南,西南,水电,49825.0,10422.34,224.41,27.18,123.43,2.81,206.65,91.87,783.12,低
RE00564,2021-08-01,2021,8,云南,西南,水电,50050.54,9077.24,198.17,27.97,104.03,4.07,152.16,92.65,1357.71,低
RE00582,2021-09-01,2021,9,云南,西南,水电,50999.01,9200.71,191.58,21.2,130.54,3.59,128.94,93.78,1192.73,低
RE00600,2021-10-01,2021,10,云南,西南,水电,52136.88,8930.05,187.42,18.44,122.4,3.28,109.07,91.45,1080.78,低
RE00618,2021-11-01,2021,11,云南,西南,水电,50833.93,6591.66,143.57,12.39,68.28,4.15,84.23,90.22,1194.64,低
RE00636,2021-12-01,2021,12,云南,西南,水电,49967.26,4834.61,106.36,13.23,40.37,5.53,91.65,91.47,849.93,低
RE00654,2022-01-01,2022,1,云南,西南,水电,53468.18,7787.97,155.24,9.39,67.04,4.97,86.47,93.09,1555.7,低
RE00672,2022-02-01,2022,2,云南,西南,水电,52222.03,6791.98,141.33,8.32,55.61,4.99,137.19,93.58,1068.35,低
RE00690,2022-03-01,2022,3,云南,西南,水电,52956.26,5331.47,108.14,10.75,34.42,4.75,149.23,93.48,1180.83,低
RE00708,2022-04-01,2022,4,云南,西南,水电,54178.91,7447.37,149.08,14.76,70.58,3.77,146.84,92.84,1357.46,低
RE00726,2022-05-01,2022,5,云南,西南,水电,50993.89,8107.09,167.79,22.37,85.94,3.81,174.59,92.88,1502.58,低
RE00744,2022-06-01,2022,6,云南,西南,水电,51693.73,9092.57,190.18,29.54,111.74,3.17,205.89,93.27,1171.87,低
RE00762,2022-07-01,2022,7,云南,西南,水电,53563.32,8745.6,183.1,29.28,118.83,3.83,177.98,89.6,1348.83,低
RE00780,2022-08-01,2022,8,云南,西南,水电,53164.91,8215.12,171.92,28.29,124.95,2.42,166.87,88.83,1203.12,低
RE00798,2022-09-01,2022,9,云南,西南,水电,54880.9,10403.85,204.73,25.43,132.66,3.28,144.83,91.35,1140.8,低
RE00816,2022-10-01,2022,10,云南,西南,水电,53288.82,8457.83,170.26,17.71,119.69,4.16,129.03,91.83,1078.84,低
RE00834,2022-11-01,2022,11,云南,西南,水电,53541.38,9584.61,188.28,13.53,110.36,3.63,110.24,94.24,1375.88,低
RE00852,2022-12-01,2022,12,云南,西南,水电,52103.93,7857.37,162.05,5.35,74.08,4.29,93.85,94.34,1167.8,低
RE00870,2023-01-01,2023,1,云南,西南,水电,53716.67,6868.65,139.07,6.67,56.61,5.58,112.91,93.19,1149.79,中
RE00888,2023-02-01,2023,2,云南,西南,水电,54782.32,5004.41,96.67,7.49,21.6,5.18,132.94,94.29,1407.32,中
RE00906,2023-03-01,2023,3,云南,西南,水电,54586.04,6384.45,126.21,10.02,44.29,5.3,127.43,94.08,1445.72,中
RE00924,2023-04-01,2023,4,云南,西南,水电,54186.49,8524.32,168.26,19.27,77.93,4.4,156.19,93.34,1516.24,中
RE00942,2023-05-01,2023,5,云南,西南,水电,51823.36,7539.53,155.37,24.64,83.02,4.53,173.64,91.78,1449.65,中
RE00960,2023-06-01,2023,6,云南,西南,水电,54711.3,11236.47,214.76,22.94,116.67,3.57,172.03,92.76,1540.42,中
RE00978,2023-07-01,2023,7,云南,西南,水电,54967.27,9829.68,183.57,31.67,116.77,3.18,193.69,97.14,1241.39,中
RE00996,2023-08-01,2023,8,云南,西南,水电,55702.1,10825.78,200.18,26.3,147.6,3.36,169.42,94.63,1710.85,中
RE01014,2023-09-01,2023,9,云南,西南,水电,54540.09,9772.76,193.63,21.28,123.63,3.34,137.91,94.58,1343.2,中
RE01032,2023-10-01,2023,10,云南,西南,水电,56177.76,9370.9,174.0,13.52,89.56,3.63,121.98,94.56,1450.25,中
RE01050,2023-11-01,2023,11,云南,西南,水电,55202.58,9061.26,174.86,11.15,99.25,4.67,107.39,95.23,1398.75,中
RE01068,2023-12-01,2023,12,云南,西南,水电,55251.8,7745.49,144.92,6.81,57.63,5.21,116.97,94.5,1329.7,中
RE01086,2024-01-01,2024,1,云南,西南,水电,55876.17,6775.79,126.13,9.67,42.41,4.61,102.94,94.48,1256.83,中
RE01104,2024-02-01,2024,2,云南,西南,水电,55139.71,6924.49,132.26,3.97,39.13,4.48,103.98,95.23,1112.08,中
RE01122,2024-03-01,2024,3,云南,西南,水电,57060.3,6223.24,111.16,12.16,54.81,5.89,144.66,95.38,1233.95,中
RE01140,2024-04-01,2024,4,云南,西南,水电,56439.14,6114.06,113.71,17.88,66.57,5.0,192.41,95.59,1262.75,中
RE01158,2024-05-01,2024,5,云南,西南,水电,55749.17,7451.41,139.83,24.45,86.16,4.34,193.3,95.49,1149.96,中
RE01176,2024-06-01,2024,6,云南,西南,水电,55736.74,9739.58,177.61,29.81,112.36,2.23,186.4,96.44,1152.54,中
RE01194,2024-07-01,2024,7,云南,西南,水电,55953.15,11017.83,208.74,27.0,133.23,3.19,174.94,96.55,1261.85,中
RE01212,2024-08-01,2024,8,云南,西南,水电,57366.43,10887.72,200.82,27.09,119.6,3.27,144.02,94.21,1382.63,中
RE01230,2024-09-01,2024,9,云南,西南,水电,57771.78,10945.37,197.39,20.82,121.69,3.47,148.13,96.26,1759.81,中
RE01248,2024-10-01,2024,10,云南,西南,水电,57811.27,10901.6,199.33,19.25,129.83,3.59,130.4,94.32,1114.33,中
RE01266,2024-11-01,2024,11,云南,西南,水电,57733.68,9515.86,167.12,11.32,98.48,5.43,96.4,97.07,1822.62,中
RE01284,2024-12-01,2024,12,云南,西南,水电,55639.81,6310.29,120.74,8.41,51.49,4.14,92.44,94.22,1377.25,中
RE01302,2025-01-01,2025,1,云南,西南,水电,57436.81,6169.78,113.61,6.77,34.45,4.27,86.93,95.5,1604.03,中
RE01320,2025-02-01,2025,2,云南,西南,水电,57286.0,5219.71,95.36,4.61,27.23,5.58,133.44,95.61,1058.42,中
RE01338,2025-03-01,2025,3,云南,西南,水电,58551.3,7471.09,134.52,12.65,62.29,5.22,133.71,95.21,1361.46,中
RE01356,2025-04-01,2025,4,云南,西南,水电,57264.69,7089.89,131.19,19.47,69.44,4.84,160.26,95.76,1572.11,中
RE01374,2025-05-01,2025,5,云南,西南,水电,59215.15,8159.72,144.18,22.3,72.32,3.53,188.02,96.19,1574.55,中
RE01392,2025-06-01,2025,6,云南,西南,水电,57396.06,10367.12,191.69,27.21,116.25,3.15,192.72,95.17,1697.19,中
RE01410,2025-07-01,2025,7,云南,西南,水电,59534.72,11721.2,210.23,25.7,129.36,3.5,174.52,95.5,1748.1,中
RE01428,2025-08-01,2025,8,云南,西南,水电,60368.43,11631.7,202.93,30.63,153.06,3.97,164.08,96.43,1245.5,中
RE01446,2025-09-01,2025,9,云南,西南,水电,59180.83,10390.55,182.67,23.92,121.83,3.67,152.76,97.19,1358.36,中
RE01464,2025-10-01,2025,10,云南,西南,水电,58635.26,8513.19,157.31,18.12,114.53,3.79,122.16,95.48,1362.58,中
RE01482,2025-11-01,2025,11,云南,西南,水电,58484.14,8415.45,148.8,11.33,88.62,4.75,98.57,95.9,1189.92,中
RE01500,2025-12-01,2025,12,云南,西南,水电,58919.38,7661.15,134.28,7.07,67.74,4.0,100.32,97.01,1735.87,中
RE00005,2019-01-01,2019,1,云南,西南,风电,2839.66,381.83,147.78,7.54,32.31,4.58,98.07,88.99,140.66,低
RE00023,2019-02-01,2019,2,云南,西南,风电,2902.46,438.02,173.54,10.11,64.81,5.27,106.68,88.32,126.16,低
RE00041,2019-03-01,2019,3,云南,西南,风电,2835.77,487.33,193.91,9.49,36.53,5.4,151.55,87.46,113.79,低
RE00059,2019-04-01,2019,4,云南,西南,风电,2818.74,364.66,142.15,19.66,70.84,3.95,165.16,89.26,145.14,低
RE00077,2019-05-01,2019,5,云南,西南,风电,2961.82,338.53,133.53,25.69,75.32,3.53,187.31,87.34,173.2,低
RE00095,2019-06-01,2019,6,云南,西南,风电,2958.38,344.3,133.76,24.87,108.08,3.8,206.21,88.08,160.87,低
RE00113,2019-07-01,2019,7,云南,西南,风电,2978.94,277.54,106.49,31.66,131.11,3.22,184.46,88.97,127.57,低
RE00131,2019-08-01,2019,8,云南,西南,风电,2996.58,267.43,100.07,29.47,121.49,3.09,166.9,90.01,137.73,低
RE00149,2019-09-01,2019,9,云南,西南,风电,3074.65,328.02,122.68,22.35,132.45,3.77,136.93,85.97,178.17,低
RE00167,2019-10-01,2019,10,云南,西南,风电,3010.3,408.72,158.03,20.02,100.93,4.0,112.54,88.31,167.3,低
RE00185,2019-11-01,2019,11,云南,西南,风电,3082.53,430.97,152.72,13.35,89.33,4.63,96.91,90.85,136.73,低
RE00203,2019-12-01,2019,12,云南,西南,风电,3084.04,505.46,175.51,5.02,71.28,5.16,93.05,87.9,140.77,低
RE00221,2020-01-01,2020,1,云南,西南,风电,3085.55,439.57,159.42,6.65,40.54,4.86,107.41,90.74,153.91,低
RE00239,2020-02-01,2020,2,云南,西南,风电,3223.95,529.54,180.16,4.72,0.0,4.87,123.44,92.09,159.36,低
RE00257,2020-03-01,2020,3,云南,西南,风电,3151.25,445.74,155.56,13.16,43.32,4.65,148.95,90.6,171.57,低
RE00275,2020-04-01,2020,4,云南,西南,风电,3247.14,419.99,142.41,16.92,29.87,4.21,159.73,89.35,133.22,低
RE00293,2020-05-01,2020,5,云南,西南,风电,3139.8,402.19,144.97,20.73,106.63,3.62,211.06,89.73,149.34,低
RE00311,2020-06-01,2020,6,云南,西南,风电,3298.17,395.18,135.85,25.97,91.39,2.93,174.74,90.26,214.45,低
RE00329,2020-07-01,2020,7,云南,西南,风电,3372.95,368.04,116.43,26.43,136.78,3.22,185.19,91.55,190.97,低
RE00347,2020-08-01,2020,8,云南,西南,风电,3434.36,379.16,124.35,26.37,151.51,3.14,158.95,90.09,178.45,低
RE00365,2020-09-01,2020,9,云南,西南,风电,3339.7,399.07,134.84,23.62,126.11,3.73,132.23,88.45,151.33,低
RE00383,2020-10-01,2020,10,云南,西南,风电,3446.83,482.99,150.62,15.55,86.87,4.34,129.54,92.02,161.96,低
RE00401,2020-11-01,2020,11,云南,西南,风电,3379.75,461.67,150.05,14.11,87.1,4.33,104.06,91.24,158.69,低
RE00419,2020-12-01,2020,12,云南,西南,风电,3469.69,592.37,192.05,8.36,53.84,5.28,106.94,88.33,172.1,低
RE00437,2021-01-01,2021,1,云南,西南,风电,3453.34,565.74,178.37,6.84,51.5,4.95,77.12,89.89,170.11,中
RE00455,2021-02-01,2021,2,云南,西南,风电,3600.57,559.1,168.17,9.41,29.85,4.82,119.4,92.04,203.92,中
RE00473,2021-03-01,2021,3,云南,西南,风电,3592.04,647.4,195.64,12.4,72.72,5.83,145.78,91.46,216.03,中
RE00491,2021-04-01,2021,4,云南,西南,风电,3641.98,589.88,176.98,15.53,51.81,4.62,174.92,90.08,151.53,中
RE00509,2021-05-01,2021,5,云南,西南,风电,3735.8,544.26,155.53,23.18,84.25,4.41,179.56,91.24,165.53,中
RE00527,2021-06-01,2021,6,云南,西南,风电,3656.17,399.39,121.65,28.62,108.12,3.6,180.81,91.93,168.82,中
RE00545,2021-07-01,2021,7,云南,西南,风电,3735.74,334.35,98.36,27.07,128.59,2.38,192.1,90.69,204.94,中
RE00563,2021-08-01,2021,8,云南,西南,风电,3846.98,460.93,126.14,28.94,145.07,3.3,161.56,92.71,193.3,中
RE00581,2021-09-01,2021,9,云南,西南,风电,3959.91,472.51,130.21,23.62,135.53,3.04,137.56,92.89,192.11,中
RE00599,2021-10-01,2021,10,云南,西南,风电,3830.55,466.34,133.5,18.0,113.28,3.94,135.12,92.18,165.53,中
RE00617,2021-11-01,2021,11,云南,西南,风电,3777.59,698.69,197.6,12.87,94.88,5.7,88.26,92.04,171.0,中
RE00635,2021-12-01,2021,12,云南,西南,风电,4057.64,572.87,162.81,6.7,60.24,5.45,98.84,87.88,260.15,中
RE00653,2022-01-01,2022,1,云南,西南,风电,3974.58,669.11,189.74,4.77,61.67,5.02,120.87,90.4,155.47,中
RE00671,2022-02-01,2022,2,云南,西南,风电,3949.08,639.29,173.55,9.63,46.36,5.22,123.52,90.83,205.97,中
RE00689,2022-03-01,2022,3,云南,西南,风电,4006.97,633.84,170.62,12.86,37.28,5.01,145.22,92.1,181.14,中
RE00707,2022-04-01,2022,4,云南,西南,风电,4093.69,524.68,138.84,14.97,69.26,4.4,164.86,93.22,200.68,中
